iter	Passed	Remaining
0	61	61656
1	62	31015
2	62	20798
3	62	15676
4	63	12623
5	63	10582
6	64	9118
7	64	8025
8	65	7172
9	65	6476
10	65	5909
11	66	5439
12	66	5031
13	66	4688
14	66	4395
15	67	4137
16	67	3908
17	67	3708
18	68	3521
19	68	3369
20	69	3223
21	69	3089
22	69	2968
23	70	2858
24	70	2762
25	71	2675
26	72	2597
27	72	2514
28	72	2442
29	73	2373
30	73	2311
31	74	2247
32	75	2200
33	75	2151
34	76	2096
35	76	2043
36	76	2002
37	77	1961
38	77	1917
39	78	1882
40	79	1849
41	79	1815
42	80	1784
43	80	1752
44	81	1721
45	81	1691
46	82	1664
47	82	1639
48	83	1611
49	83	1585
50	83	1559
51	84	1535
52	84	1513
53	85	1494
54	85	1476
55	86	1459
56	87	1441
57	87	1420
58	88	1405
59	88	1389
60	89	1371
61	89	1354
62	89	1336
63	90	1320
64	90	1305
65	91	1290
66	91	1276
67	92	1264
68	92	1247
69	92	1235
70	93	1224
71	94	1213
72	94	1201
73	95	1190
74	95	1180
75	96	1169
76	96	1158
77	97	1151
78	97	1140
79	98	1128
80	98	1118
81	98	1106
82	99	1096
83	99	1086
84	100	1078
85	100	1069
86	101	1060
87	101	1051
88	102	1044
89	102	1037
90	103	1030
91	103	1022
92	104	1015
93	104	1007
94	105	1000
95	105	993
96	105	985
97	106	978
98	106	970
99	107	963
100	107	958
101	108	952
102	108	946
103	109	940
104	109	934
105	110	928
106	110	920
107	110	916
108	111	909
109	111	903
110	112	897
111	112	892
112	113	887
113	113	883
114	114	878
115	114	875
116	115	869
117	115	863
118	115	858
119	116	853
120	116	848
121	117	845
122	117	840
123	118	835
124	118	830
125	119	825
126	119	821
127	120	817
128	120	813
129	120	809
130	121	806
131	121	801
132	122	798
133	123	795
134	123	793
135	124	790
136	124	786
137	125	783
138	125	779
139	126	775
140	126	771
141	127	767
142	127	763
143	127	760
144	128	757
145	128	754
146	129	750
147	129	746
148	130	743
149	130	740
150	131	736
151	131	733
152	131	729
153	132	726
154	132	723
155	133	719
156	133	716
157	133	713
158	134	710
159	134	707
160	135	704
161	135	701
162	136	698
163	136	694
164	136	692
165	137	689
166	137	685
167	137	682
168	138	680
169	138	677
170	139	675
171	139	672
172	140	669
173	140	666
174	141	667
175	142	664
176	142	662
177	142	660
178	143	657
179	143	654
180	144	652
181	144	650
182	145	648
183	145	645
184	145	642
185	146	641
186	146	638
187	147	637
188	147	634
189	148	632
190	148	630
191	149	628
192	149	626
193	150	624
194	150	621
195	151	620
196	151	618
197	151	615
198	152	613
199	152	611
200	153	609
201	153	608
202	154	605
203	154	603
204	155	602
205	155	600
206	156	599
207	157	598
208	157	596
209	158	595
210	158	593
211	159	592
212	159	590
213	160	588
214	160	587
215	161	585
216	161	583
217	162	581
218	162	578
219	163	578
220	163	576
221	164	575
222	164	573
223	165	572
224	165	570
225	165	567
226	166	566
227	166	564
228	167	562
229	167	561
230	168	559
231	168	558
232	169	557
233	170	556
234	170	556
235	171	555
236	171	553
237	172	551
238	172	549
239	173	548
240	173	546
241	173	544
242	174	542
243	174	541
244	175	539
245	175	538
246	176	537
247	176	535
248	177	535
249	178	534
250	178	533
251	179	531
252	179	530
253	180	529
254	181	529
255	181	528
256	182	527
257	182	526
258	183	524
259	183	523
260	184	522
261	184	521
262	185	519
263	185	517
264	186	516
265	186	514
266	187	513
267	187	512
268	188	511
269	188	509
270	188	508
271	189	506
272	189	505
273	190	504
274	190	502
275	191	502
276	192	502
277	193	501
278	193	500
279	194	498
280	194	497
281	194	495
282	195	494
283	195	492
284	195	491
285	196	490
286	196	489
287	197	488
288	198	487
289	198	486
290	199	484
291	199	483
292	199	482
293	200	481
294	201	480
295	201	480
296	202	478
297	202	477
298	203	476
299	204	476
300	205	476
301	205	475
302	206	474
303	206	473
304	207	472
305	208	471
306	208	471
307	209	470
308	209	469
309	210	468
310	211	467
311	211	466
312	212	466
313	212	464
314	213	463
315	213	462
316	214	461
317	214	460
318	215	459
319	215	458
320	216	457
321	216	455
322	216	453
323	216	452
324	217	451
325	217	449
326	217	448
327	218	447
328	218	445
329	218	444
330	219	443
331	219	442
332	220	440
333	220	439
334	220	438
335	221	436
336	221	435
337	221	434
338	222	433
339	222	432
340	223	431
341	223	429
342	223	428
343	224	427
344	224	426
345	225	425
346	225	424
347	226	423
348	226	422
349	226	421
350	227	420
351	227	419
352	228	418
353	228	417
354	229	416
355	229	415
356	230	414
357	230	413
358	231	412
359	231	412
360	232	411
361	232	409
362	232	408
363	233	407
364	233	406
365	234	405
366	234	404
367	235	404
368	235	402
369	236	402
370	236	400
371	236	399
372	237	399
373	238	398
374	238	397
375	239	396
376	239	395
377	239	394
378	240	393
379	240	393
380	241	392
381	241	391
382	242	390
383	242	389
384	243	388
385	243	387
386	244	386
387	244	386
388	245	385
389	245	384
390	246	383
391	246	382
392	247	381
393	247	380
394	247	379
395	248	378
396	248	377
397	249	376
398	249	375
399	250	375
400	251	375
401	251	374
402	252	373
403	252	372
404	253	371
405	254	371
406	255	372
407	255	371
408	256	370
409	257	370
410	257	369
411	258	368
412	258	367
413	259	366
414	259	365
415	260	365
416	260	364
417	261	363
418	261	362
419	262	362
420	262	361
421	263	360
422	263	359
423	264	358
424	264	357
425	265	357
426	265	356
427	265	355
428	266	354
429	267	354
430	267	353
431	268	352
432	268	351
433	269	350
434	269	350
435	269	349
436	270	348
437	270	347
438	271	346
439	271	345
440	272	345
441	272	344
442	273	343
443	273	342
444	274	342
445	274	341
446	275	340
447	276	340
448	276	339
449	277	338
450	277	337
451	277	336
452	278	336
453	278	335
454	279	334
455	279	334
456	280	333
457	280	332
458	281	331
459	282	331
460	282	330
461	282	329
462	283	328
463	283	327
464	284	327
465	284	326
466	285	325
467	285	324
468	286	323
469	286	323
470	286	322
471	287	321
472	287	320
473	288	319
474	288	319
475	289	318
476	289	317
477	290	316
478	290	316
479	291	315
480	291	314
481	292	313
482	292	313
483	293	312
484	293	311
485	293	310
486	294	309
487	294	309
488	295	309
489	296	308
490	297	307
491	297	307
492	298	306
493	298	305
494	299	305
495	299	304
496	300	303
497	300	303
498	301	302
499	301	301
500	302	301
501	302	300
502	303	299
503	303	298
504	304	298
505	304	297
506	305	296
507	305	295
508	305	295
509	306	294
510	306	293
511	307	292
512	307	291
513	308	291
514	308	290
515	309	290
516	309	289
517	310	288
518	310	287
519	310	287
520	311	286
521	312	286
522	312	285
523	313	284
524	313	283
525	314	283
526	314	282
527	314	281
528	315	280
529	315	279
530	315	279
531	316	278
