iter	Passed	Remaining
0	7	7890
1	13	6943
2	17	5966
3	21	5424
4	29	5898
5	39	6544
6	44	6242
7	47	5864
8	50	5581
9	54	5440
10	57	5198
11	60	4996
12	63	4841
13	66	4690
14	69	4562
15	74	4554
16	79	4611
17	84	4636
18	89	4642
19	92	4541
20	95	4469
21	98	4399
22	103	4410
23	107	4363
24	110	4300
25	113	4255
26	117	4226
27	121	4203
28	124	4185
29	129	4180
30	133	4175
31	137	4166
32	140	4117
33	143	4080
34	146	4045
35	149	4007
36	153	3988
37	156	3963
38	159	3938
39	163	3921
40	171	4020
41	177	4048
42	185	4135
43	194	4224
44	199	4234
45	204	4231
46	206	4192
47	209	4160
48	212	4133
49	224	4257
50	230	4295
51	234	4278
52	237	4242
53	240	4215
54	243	4183
55	246	4159
56	249	4131
57	252	4107
58	255	4080
59	259	4062
60	263	4049
61	272	4119
62	277	4124
63	282	4127
64	285	4102
65	288	4078
66	291	4056
67	294	4034
68	298	4022
69	301	4001
70	303	3976
71	307	3966
72	311	3953
73	316	3956
74	321	3961
75	326	3968
76	331	3968
77	334	3955
78	338	3949
79	341	3929
80	345	3921
81	348	3899
82	351	3879
83	354	3861
84	356	3841
85	359	3822
86	362	3808
87	370	3836
88	376	3858
89	379	3841
90	382	3824
91	385	3807
92	388	3790
93	392	3780
94	395	3765
95	398	3750
96	401	3735
97	404	3719
98	406	3701
99	409	3688
100	416	3705
101	422	3720
102	426	3717
103	429	3701
104	432	3687
105	435	3673
106	438	3657
107	440	3641
108	443	3628
109	446	3614
110	449	3599
111	452	3584
112	454	3571
113	457	3558
114	464	3576
115	473	3608
116	476	3596
117	479	3584
118	482	3569
119	485	3557
120	488	3545
121	491	3534
122	493	3520
123	496	3507
124	499	3496
125	502	3486
126	505	3473
127	511	3485
128	518	3499
129	523	3502
130	526	3490
131	529	3478
132	532	3468
133	534	3456
134	537	3444
135	540	3435
136	543	3424
137	546	3414
138	549	3402
139	551	3390
140	571	3484
141	577	3490
142	582	3489
143	585	3479
144	588	3468
145	590	3456
146	594	3447
147	596	3435
148	599	3424
149	602	3412
150	609	3428
151	615	3434
152	620	3436
153	624	3431
154	628	3424
155	630	3412
156	633	3403
157	636	3392
158	639	3382
159	642	3371
160	645	3361
161	647	3351
162	650	3340
163	656	3348
164	663	3357
165	668	3359
166	671	3348
167	674	3338
168	676	3328
169	679	3319
170	682	3309
171	685	3299
172	687	3288
173	690	3279
174	693	3270
175	696	3260
176	699	3250
177	702	3245
178	707	3246
179	712	3247
180	717	3245
181	719	3235
182	722	3225
183	725	3218
184	730	3217
185	733	3211
186	736	3202
187	739	3193
188	742	3185
189	744	3176
190	749	3175
191	753	3172
192	757	3168
193	762	3166
194	765	3159
195	768	3150
196	770	3142
197	773	3134
198	776	3125
199	779	3117
200	782	3108
201	785	3101
202	787	3093
203	790	3085
204	793	3077
205	796	3069
206	800	3066
207	804	3062
208	808	3059
209	812	3056
210	815	3048
211	818	3040
212	820	3033
213	823	3025
214	826	3017
215	829	3010
216	832	3002
217	835	2995
218	837	2988
219	840	2981
220	843	2973
221	847	2969
222	851	2967
223	855	2964
224	859	2960
225	862	2955
226	865	2947
227	868	2940
228	871	2933
229	874	2927
230	877	2919
231	879	2912
232	882	2905
233	886	2900
234	888	2893
235	891	2886
236	894	2881
237	899	2878
238	902	2874
239	906	2871
240	910	2867
241	913	2862
242	916	2855
243	919	2848
244	922	2841
245	924	2834
246	927	2828
247	930	2821
248	933	2815
249	936	2809
250	939	2803
251	942	2797
252	946	2793
253	950	2790
254	954	2787
255	958	2784
256	961	2778
257	964	2772
258	966	2766
259	969	2759
260	972	2753
261	975	2747
262	978	2742
263	981	2736
264	984	2729
265	987	2725
266	990	2718
267	994	2716
268	998	2713
269	1002	2710
270	1006	2707
271	1009	2701
272	1012	2694
273	1014	2688
274	1017	2682
275	1020	2676
276	1022	2669
277	1025	2663
278	1028	2658
279	1031	2652
280	1034	2645
281	1036	2639
282	1040	2635
283	1044	2633
284	1048	2630
285	1052	2628
286	1055	2623
287	1058	2617
288	1061	2611
289	1064	2606
290	1067	2600
291	1070	2594
292	1072	2589
293	1075	2583
294	1078	2577
295	1081	2571
296	1083	2565
297	1087	2560
298	1089	2555
299	1093	2550
300	1097	2548
301	1100	2544
302	1103	2539
303	1106	2533
304	1109	2528
305	1112	2523
306	1115	2517
307	1118	2512
308	1120	2506
309	1123	2501
310	1126	2495
311	1129	2490
312	1132	2485
313	1135	2480
314	1140	2479
315	1144	2476
316	1147	2473
317	1151	2470
318	1154	2465
319	1157	2460
320	1161	2456
321	1164	2451
322	1167	2447
323	1170	2442
324	1173	2437
325	1176	2432
326	1179	2426
327	1181	2421
328	1185	2418
329	1189	2415
330	1194	2413
331	1198	2411
332	1201	2406
333	1204	2401
334	1207	2396
335	1210	2391
336	1213	2386
