iter	Passed	Remaining
0	65	65355
1	66	33214
2	67	22422
3	68	16997
4	69	13765
5	70	11609
6	70	10066
7	71	8915
8	72	8005
9	73	7290
10	75	6758
11	75	6249
12	76	5819
13	77	5442
14	77	5109
15	78	4821
16	79	4588
17	79	4363
18	80	4172
19	81	4001
20	82	3842
21	83	3699
22	84	3569
23	84	3448
24	85	3341
25	86	3239
26	87	3148
27	88	3058
28	88	2977
29	89	2895
30	90	2818
31	90	2747
32	91	2683
33	92	2620
34	92	2562
35	93	2509
36	94	2457
37	95	2410
38	95	2363
39	96	2318
40	97	2270
41	97	2228
42	98	2187
43	98	2150
44	99	2109
45	100	2076
46	101	2048
47	101	2019
48	102	1988
49	102	1956
50	103	1926
51	104	1897
52	104	1870
53	105	1844
54	105	1818
55	106	1793
56	107	1772
57	107	1751
58	108	1728
59	109	1709
60	109	1688
61	110	1667
62	110	1648
63	111	1628
64	111	1610
65	112	1591
66	113	1575
67	113	1557
68	114	1539
69	114	1524
70	115	1508
71	115	1491
72	116	1475
73	116	1461
74	117	1449
75	118	1438
76	118	1425
77	119	1410
78	119	1398
79	120	1387
80	121	1375
81	121	1362
82	122	1351
83	122	1340
84	123	1328
85	124	1318
86	124	1308
87	125	1297
88	125	1285
89	126	1274
90	126	1263
91	127	1260
92	128	1250
93	128	1241
94	129	1230
95	129	1220
96	130	1211
97	130	1202
98	131	1193
99	131	1183
100	132	1176
101	132	1167
102	133	1158
103	133	1150
104	134	1142
105	134	1135
106	135	1127
107	135	1119
108	136	1111
109	136	1106
110	137	1099
111	137	1092
112	137	1082
113	138	1073
114	138	1067
115	139	1060
116	139	1054
117	140	1047
118	140	1042
119	141	1035
120	141	1029
121	142	1024
122	142	1018
123	143	1013
124	143	1006
125	144	1000
126	144	994
127	145	988
128	145	983
129	146	978
130	146	974
131	147	969
132	147	963
133	148	958
134	148	952
135	149	947
136	149	942
137	150	937
138	150	931
139	150	925
140	151	921
141	151	916
142	152	911
143	152	906
144	153	902
145	153	898
146	153	893
147	154	888
148	154	884
149	155	879
150	155	875
151	155	869
152	156	865
153	156	860
154	157	857
155	157	853
156	158	849
157	158	844
158	159	841
159	159	837
160	159	833
161	160	829
162	160	825
163	161	821
164	161	818
165	162	814
166	162	811
167	163	808
168	163	805
169	164	801
170	164	798
171	165	795
172	165	791
173	166	788
174	166	785
175	167	782
176	167	779
177	168	776
178	168	774
179	169	771
180	169	768
181	170	765
182	170	762
183	171	759
184	171	757
185	172	754
186	172	752
187	173	748
188	174	746
189	174	743
190	174	740
191	175	737
192	175	734
193	176	731
194	176	729
195	177	728
196	178	725
197	178	723
198	178	720
199	179	717
200	180	715
201	180	713
202	180	710
203	181	708
204	182	705
205	182	703
206	183	701
207	183	698
208	184	696
209	184	693
210	184	690
211	185	688
212	185	686
213	186	683
214	186	681
215	187	679
216	187	676
217	188	674
218	188	671
219	188	670
220	189	668
221	190	667
222	190	665
223	191	662
224	191	660
225	192	658
226	192	656
227	193	653
228	193	651
229	193	648
230	194	646
231	194	643
232	195	642
233	195	639
234	195	637
235	196	635
236	196	633
237	197	631
238	197	628
239	198	627
240	198	624
241	198	622
242	199	620
243	199	618
244	199	616
245	200	613
246	200	611
247	201	609
248	201	608
249	202	606
250	202	604
251	203	603
252	203	601
253	204	599
254	204	597
255	205	595
256	205	594
257	205	592
258	206	590
259	206	588
260	207	587
261	207	585
262	208	583
263	208	581
264	209	580
265	209	578
266	210	577
267	210	575
268	211	573
269	211	572
270	212	570
271	212	568
272	212	566
273	213	565
274	213	563
275	214	562
276	214	560
277	215	558
278	215	557
279	216	556
280	217	556
281	217	554
282	218	553
283	219	552
284	219	550
285	219	548
286	220	547
287	220	545
288	221	543
289	221	542
290	221	540
291	222	539
292	222	537
293	223	536
294	223	535
295	224	533
296	225	533
297	226	532
298	226	530
299	226	529
300	227	527
301	227	526
302	228	524
303	228	523
304	229	521
305	229	520
306	229	518
