iter	Passed	Remaining
0	3	3521
1	4	2104
2	4	1594
3	5	1366
4	6	1254
5	7	1207
6	8	1178
7	9	1206
8	10	1194
9	11	1169
10	12	1145
11	13	1139
12	15	1149
13	16	1137
14	17	1120
15	17	1105
16	19	1109
17	19	1088
18	20	1084
19	22	1079
20	22	1059
21	23	1042
22	24	1023
23	24	1004
24	25	994
25	26	983
26	27	975
27	27	963
28	28	950
29	29	944
30	29	936
31	30	934
32	31	926
33	32	921
34	33	915
35	34	912
36	34	907
37	35	904
38	36	905
39	37	905
40	38	897
41	39	896
42	40	896
43	41	893
44	42	891
45	42	888
46	43	891
47	44	888
48	45	881
49	46	875
50	46	868
51	47	872
52	49	876
53	50	883
54	51	883
55	52	882
56	53	886
57	54	887
58	55	892
59	57	895
60	58	904
61	59	904
62	60	904
63	61	903
64	63	907
65	64	906
66	64	905
67	66	907
68	67	915
69	68	916
70	70	916
71	71	918
72	72	919
73	73	921
74	74	919
75	75	915
76	76	912
77	76	909
78	77	908
79	78	905
80	79	905
81	81	916
82	83	919
83	84	920
84	85	921
85	86	922
86	88	930
87	89	928
88	92	943
89	93	947
90	97	978
91	99	986
92	106	1034
93	107	1036
94	109	1044
95	111	1049
96	112	1048
97	113	1046
98	116	1062
99	118	1070
100	120	1072
101	122	1081
102	124	1082
103	124	1076
104	125	1073
105	126	1067
106	127	1064
107	128	1062
108	129	1060
109	131	1062
110	132	1058
111	133	1056
112	134	1055
113	135	1052
114	137	1054
115	137	1050
116	138	1048
117	139	1045
118	140	1042
119	141	1038
120	142	1033
121	142	1027
122	143	1024
123	144	1022
124	146	1027
125	147	1022
126	152	1046
127	153	1043
128	155	1048
129	156	1046
130	157	1044
131	160	1052
132	160	1047
133	161	1042
134	161	1037
135	162	1033
136	163	1031
137	168	1053
138	169	1048
139	169	1043
140	170	1040
141	172	1039
142	173	1037
143	182	1086
144	183	1083
145	184	1079
146	186	1082
147	187	1080
148	188	1076
149	189	1073
150	190	1070
151	191	1065
152	191	1061
153	193	1060
154	196	1070
155	197	1068
156	198	1066
157	199	1062
158	200	1062
159	201	1059
160	202	1056
161	203	1052
162	205	1052
163	205	1048
164	206	1045
165	207	1042
166	208	1041
167	209	1039
168	210	1035
169	211	1032
170	212	1028
171	212	1025
172	213	1021
173	214	1018
174	215	1014
175	216	1012
176	217	1009
177	218	1007
178	219	1004
179	219	1001
180	220	999
181	222	998
182	223	996
183	224	994
184	225	991
185	225	988
186	226	985
187	227	982
188	228	980
189	230	981
190	231	979
191	232	978
192	233	978
193	236	981
194	237	980
195	239	982
196	240	978
197	240	975
198	241	971
199	241	967
200	243	968
201	244	965
202	248	974
203	249	972
204	250	970
205	252	972
206	254	975
207	256	974
208	257	972
209	257	970
210	258	967
211	259	964
212	260	961
213	261	958
214	262	956
215	262	953
216	263	950
217	264	947
218	264	944
219	265	940
220	266	937
221	266	934
222	267	931
223	267	928
224	268	925
225	269	922
226	269	919
227	270	915
228	271	913
229	271	910
230	272	907
231	273	904
232	273	901
233	274	898
234	275	895
235	275	892
236	276	889
237	276	886
238	277	883
239	278	880
240	278	878
241	279	875
242	279	871
243	280	869
244	282	869
245	282	866
246	283	864
247	284	861
248	284	858
249	285	855
250	285	852
251	286	850
252	286	847
253	287	844
254	288	841
255	288	839
256	289	836
257	290	834
258	290	831
259	291	829
260	291	826
261	292	824
262	293	821
263	293	818
264	294	816
265	295	814
266	295	811
267	296	809
268	297	807
269	297	804
270	298	802
271	299	801
272	299	798
273	300	796
274	301	794
275	301	791
276	302	789
277	303	787
278	303	785
279	304	782
280	305	780
281	305	778
282	306	776
283	307	774
284	307	771
285	308	769
286	309	767
287	309	765
288	310	763
289	310	761
290	311	759
291	312	757
292	313	755
293	313	753
294	314	751
295	315	749
296	315	747
297	316	745
298	316	743
299	317	741
300	318	739
301	318	737
302	319	735
303	320	733
304	321	731
305	321	729
306	322	727
307	322	725
308	323	723
309	324	721
310	324	719
311	325	717
312	326	715
313	326	714
314	327	712
315	328	710
316	328	708
317	329	706
318	330	704
319	330	702
320	331	700
321	331	698
322	332	696
323	332	694
324	333	692
325	334	691
326	335	689
327	335	688
328	336	686
329	336	684
330	337	681
331	337	679
332	338	678
333	339	676
334	339	674
335	340	672
